合约,最小下单量
BTC-USDT,0.001
ETH-USDT,0.001
BCH-USDT,0.001
XRP-USDT,0.1
EOS-USDT,0.1
LTC-USDT,0.001
TRX-USDT,1
ETC-USDT,0.01
LINK-USDT,0.01
XLM-USDT,1
ADA-USDT,1
XMR-USDT,0.001
DASH-USDT,0.001
ZEC-USDT,0.001
XTZ-USDT,0.1
BNB-USDT,0.01
ATOM-USDT,0.01
ONT-USDT,0.1
IOTA-USDT,0.1
BAT-USDT,0.1
VET-USDT,1
NEO-USDT,0.01
QTUM-USDT,0.1
IOST-USDT,1
THETA-USDT,0.1
ALGO-USDT,0.1
ZIL-USDT,1
KNC-USDT,1
ZRX-USDT,0.1
COMP-USDT,0.001
OMG-USDT,0.1
DOGE-USDT,1
SXP-USDT,0.1
KAVA-USDT,0.1
BAND-USDT,0.1
RLC-USDT,0.1
WAVES-USDT,0.1
MKR-USDT,0.001
SNX-USDT,0.1
DOT-USDT,0.1
DEFI-USDT,0.001
YFI-USDT,0.001
BAL-USDT,0.1
CRV-USDT,0.1
TRB-USDT,0.1
RUNE-USDT,1
SUSHI-USDT,1
SRM-USDT,1
EGLD-USDT,0.1
SOL-USDT,1
ICX-USDT,1
STORJ-USDT,1
BLZ-USDT,1
UNI-USDT,1
AVAX-USDT,1
FTM-USDT,1
HNT-USDT,1
ENJ-USDT,1
FLM-USDT,1
TOMO-USDT,1
REN-USDT,1
KSM-USDT,0.1
NEAR-USDT,1
AAVE-USDT,0.1
FIL-USDT,0.1
RSR-USDT,1
LRC-USDT,1
MATIC-USDT,1
OCEAN-USDT,1
CVC-USDT,1
BEL-USDT,1
CTK-USDT,1
AXS-USDT,1
ALPHA-USDT,1
ZEN-USDT,0.1
SKL-USDT,1
GRT-USDT,1
1INCH-USDT,1
BTCBUSD,0.001
CHZ-USDT,1
SAND-USDT,1
ANKR-USDT,1
BTS-USDT,1
LIT-USDT,0.1
UNFI-USDT,0.1
REEF-USDT,1
RVN-USDT,1
SFP-USDT,1
XEM-USDT,1
BTCST-USDT,0.1
COTI-USDT,1
CHR-USDT,1
MANA-USDT,1
ALICE-USDT,0.1
HBAR-USDT,1
ONE-USDT,1
LINA-USDT,1
STMX-USDT,1
DENT-USDT,1
CELR-USDT,1
HOT-USDT,1
MTL-USDT,1
OGN-USDT,1
NKN-USDT,1
SC-USDT,1
DGB-USDT,1
1000SHIB-USDT,1
BAKE-USDT,1
GTC-USDT,0.1
ETHBUSD,0.001
BTCDOM-USDT,0.001
TLM-USDT,1
BNBBUSD,0.01
ADABUSD,1
XRPBUSD,0.1
IOTX-USDT,1
DOGEBUSD,1
AUDIO-USDT,1
RAY-USDT,0.1
C98-USDT,1
MASK-USDT,1
ATA-USDT,1
SOLBUSD,1
FTTBUSD,0.1
DYDX-USDT,0.1
1000XEC-USDT,1
GALA-USDT,1
CELO-USDT,0.1
AR-USDT,0.1
KLAY-USDT,0.1
ARPA-USDT,1
CTSI-USDT,1
LPT-USDT,0.1
ENS-USDT,0.1
PEOPLE-USDT,1
ANT-USDT,0.1
ROSE-USDT,1
DUSK-USDT,1
FLOW-USDT,0.1
IMX-USDT,1
API3-USDT,0.1
GMT-USDT,1
APE-USDT,1
BNX-USDT,0.1
WOO-USDT,1
FTT-USDT,0.1
JASMY-USDT,1
DAR-USDT,0.1
GAL-USDT,1
AVAXBUSD,0.1
NEARBUSD,0.1
GMTBUSD,0.1
APEBUSD,0.1
GALBUSD,1
FTMBUSD,1
DODOBUSD,1
ANCBUSD,1
GALABUSD,1
TRXBUSD,1
1000LUNCBUSD,1
LUNA2BUSD,1
OP-USDT,0.1
DOTBUSD,0.1
TLMBUSD,1
ICPBUSD,0.1
WAVESBUSD,0.1
LINKBUSD,0.1
SANDBUSD,0.1
LTCBUSD,0.01
MATICBUSD,1
CVXBUSD,0.1
FILBUSD,0.1
1000SHIBBUSD,1
LEVERBUSD,1
ETCBUSD,0.1
LDOBUSD,0.1
UNIBUSD,0.1
AUCTIONBUSD,0.1
INJ-USDT,0.1
STG-USDT,1
FOOTBALL-USDT,0.01
SPELL-USDT,1
1000LUNC-USDT,1
LUNA2-USDT,1
AMBBUSD,1
PHBBUSD,1
LDO-USDT,1
CVX-USDT,1
ICP-USDT,1
APT-USDT,0.1
QNT-USDT,0.1
APTBUSD,0.1
BLUEBIRD-USDT,0.1
AKRO-USDT,1.0
DODO-USDT,0.1
LUNA-USDT,1.0
ANC-USDT,0.1
YFII-USDT,0.001
BZRX-USDT,1.0
BTT-USDT,1.0
KEEP-USDT,1.0
NU-USDT,0.1
LEND-USDT,1.0
DOTECO-USDT,0.001
1000BTTC-USDT,1.0
